id,Название,Цена,Цена без скидки
388069,"Трубочка слоеная ДОБРЫНИНСКИЙ с белковым кремом, 250г",27999,27999
392691,"Пряники ЯШКИНО с вишневой начинкой, 350г",7999,11499
392910,"Карамель леденцовая HALLS Ментол экстра, 24,5г",3499,4999
393306,"Зефир КП ПОЛЕТ в темной глазури, 500г",27499,29999
426928,"Конфеты БАБАЕВСКИЙ Белочка, 200г",19999,33999
427991,"Маршмеллоу MALLOW JOY ВЛАД А4 в форме косички, 12г",2999,3999
428118,"Торт У ПАЛЫЧА Полет, 500г",78999,78999
429231,"Жевательная резинка DIROL Colors XXL ассорти фруктовых вкусов, 19Г",4999,4999
429232,"Жевательная резинка DIROL Colors XXL ассорти мятных вкусов, 19г",4999,4999
430731,"Мармелад жевательный MAMBA Фрумеладки Фруктовый микс, 72г",7999,9999
430732,"Мармелад жевательный MAMBA Фрумеладки Фрукты и йогурт, 72г",7999,9999
432175,"Конфеты КРАСНЫЙ ОКТЯБРЬ Мишка косолапый, 200г",19499,35999
432962,"Жевательная резинка DIROL Bubble Fresh Мята и фрукты, 13,6г",2999,3999
433729,"Конфеты АККОНД Адель с цельным миндалем, 150г",15999,18999
434151,"Конфета ЯШКИНО Jet's с печеньем, 42г",1999,2999
434152,"Батончик KDV Чио Рио, 30г",1999,2999
434415,"Карамель КОНФИТРЕЙД на палочке со вкусом ананаса, клубники с жевательной резинкой, 28г",2799,3999
434691,"Рулет ЧЕРЕМУШКИ с маком и изюмом, 300г",13999,13999
436490,"Жевательная резинка DIROL White Мята, 13,6г",2499,3999
436491,"Печенье BELVITA Утреннее Мультизлаковое, 225г",11999,14999
436493,"Печенье BELVITA Утреннее Мед и фундук, 225г",11999,14999
436494,"Печенье BELVITA Утреннее Какао с йогуртовой начинкой, 
витаминизированное, 253г",13999,17999
436495,"Печенье BELVITA Утреннее с йогуртовой начинкой, 253г",13999,17999
438057,"Шоколадные конфеты BOUNTY Райское Манго, весовые",19998,19998
438290,"Конфеты НЕВСКИЙ КОНДИТЕР Паркур 2 с карамелью, нугой и орехами, 200г",5999,5999
438309,"Жевательная резинка MENTOS Pure white со вкусом нежной мяты, 54г",12999,15999
438310,"Жевательная резинка MENTOS Pure white со вкусом клубники, 54г",12999,15999
439736,"Шоколад молочный RITTER SPORT Карамельный мусс с миндалем, 100г",14999,18999
